time,lcj,hxj,fyj,hgj,
2018-5-20 11:6:32.304,0,121.15,-0.108,-1.008,
2018-5-20 11:6:32.351,0,121.15,-0.108,-1.008,
2018-5-20 11:6:32.398,0,121.15,-0.108,-1.008,
2018-5-20 11:6:32.46,0,121.15,-0.108,-1.008,
2018-5-20 11:6:32.507,0,121.15,-0.108,-1.008,
2018-5-20 11:6:32.554,0,121.15,-0.108,-1.008,
2018-5-20 11:6:32.601,0,121.15,-0.108,-1.008,
2018-5-20 11:6:32.663,0,121.15,-0.108,-1.008,
2018-5-20 11:6:32.71,0,121.15,-0.108,-1.008,
2018-5-20 11:6:32.757,0,121.15,-0.108,-1.008,
2018-5-20 11:6:32.804,0,121.15,-0.108,-1.008,
2018-5-20 11:6:32.866,0,121.15,-0.108,-1.008,
2018-5-20 11:6:32.913,0,121.15,-0.108,-1.008,
2018-5-20 11:6:32.96,0,121.15,-0.108,-1.008,
2018-5-20 11:6:33.038,0,121.15,-0.108,-1.008,
2018-5-20 11:6:33.069,0,121.15,-0.108,-1.008,
2018-5-20 11:6:33.116,0,121.15,-0.108,-1.008,
2018-5-20 11:6:33.162,0,121.15,-0.108,-1.008,
2018-5-20 11:6:33.225,0,121.15,-0.108,-1.008,
2018-5-20 11:6:33.272,0,121.15,-0.108,-1.008,
2018-5-20 11:6:33.318,0,121.15,-0.108,-1.008,
