time,lcj,hxj,fyj,hgj,
2018-5-20 13:9:45.53600,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:45.58300,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:45.64500,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:45.69200,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:45.73900,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:45.80100,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:45.84800,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:45.89500,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:45.94200,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:46.00400,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:46.05100,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:46.09800,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:46.16000,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:46.20700,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:46.25400,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:46.30100,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:46.36300,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:46.41000,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:46.45700,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:46.50300,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:46.58100,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:46.61300,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:46.65900,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:46.72200,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:46.76900,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:46.81500,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:46.86200,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:46.92500,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:46.97100,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:47.01800,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:47.06500,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:47.12700,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:47.17400,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:47.22100,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:47.28300,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:47.33000,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:47.37700,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:47.42400,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:47.48600,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:47.53300,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:47.58000,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:47.64200,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:47.68900,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:47.73600,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:47.78300,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:47.82900,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:47.89200,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:47.93900,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:47.98500,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:48.04800,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:48.09500,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:48.14100,0.00000,121.09500,-0.10800,-1.00800,
