Sec,+-,+-,
2018-5-20 12:54:49.00000,4084085.06675,521328.78945,50.48952,
2018-5-20 12:54:50.00000,4084085.06642,521328.78969,50.48346,
2018-5-20 12:54:51.00000,4084085.06560,521328.78999,50.48688,
2018-5-20 12:54:52.00000,4084085.06642,521328.78742,50.47795,
2018-5-20 12:54:53.00000,4084085.06516,521328.79130,50.48431,
2018-5-20 12:54:54.00000,4084085.06422,521328.78806,50.48639,
2018-5-20 12:54:55.00000,4084085.06479,521328.78888,50.47913,
2018-5-20 12:54:56.00000,4084085.06772,521328.79115,50.47107,
2018-5-20 12:54:57.00000,4084085.06536,521328.79065,50.49254,
2018-5-20 12:54:58.00000,4084085.06436,521328.78973,50.48421,
2018-5-20 12:54:59.00000,4084085.06973,521328.78922,50.47071,
2018-5-20 12:55:0.00000,4084085.06602,521328.78768,50.47598,
2018-5-20 12:55:1.00000,4084085.06659,521328.79127,50.48124,
2018-5-20 12:55:2.00000,4084085.06652,521328.79222,50.48083,
2018-5-20 12:55:3.00000,4084085.06940,521328.78887,50.47549,
2018-5-20 12:55:4.00000,4084085.06661,521328.78989,50.48787,
2018-5-20 12:55:5.00000,4084085.06604,521328.79154,50.47731,
2018-5-20 12:55:6.00000,4084085.06725,521328.79009,50.48052,
2018-5-20 12:55:7.00000,4084085.06732,521328.78644,50.47825,
2018-5-20 12:55:8.00000,4084085.06785,521328.79033,50.47673,
2018-5-20 12:55:9.00000,4084085.06681,521328.78919,50.48044,
2018-5-20 12:55:10.00000,4084085.06883,521328.78766,50.47708,
2018-5-20 12:55:11.00000,4084085.06544,521328.79206,50.47778,
2018-5-20 12:55:12.00000,4084085.06726,521328.78759,50.47500,
2018-5-20 12:55:13.00000,4084085.06820,521328.78803,50.47942,
2018-5-20 12:55:14.00000,4084085.06876,521328.78918,50.47351,
2018-5-20 12:55:15.00000,4084085.06730,521328.78800,50.46962,
2018-5-20 12:55:16.00000,4084085.06627,521328.78733,50.47749,
2018-5-20 12:55:17.00000,4084085.06664,521328.78767,50.47700,
2018-5-20 12:55:18.00000,4084085.06803,521328.78821,50.47231,
2018-5-20 12:55:19.00000,4084085.06876,521328.78930,50.47217,
2018-5-20 12:55:20.00000,4084085.06752,521328.78732,50.47899,
2018-5-20 12:55:21.00000,4084085.06686,521328.78843,50.46987,
2018-5-20 12:55:22.00000,4084085.06834,521328.78716,50.46657,
2018-5-20 12:55:23.00000,4084085.06995,521328.79082,50.47110,
2018-5-20 12:55:24.00000,4084085.07012,521328.78887,50.47603,
2018-5-20 12:55:25.00000,4084085.07062,521328.78908,50.46986,
2018-5-20 12:55:26.00000,4084085.06916,521328.78983,50.47098,
2018-5-20 12:55:27.00000,4084085.06774,521328.78964,50.47220,
2018-5-20 12:55:28.00000,4084085.07049,521328.79077,50.46821,
2018-5-20 12:55:29.00000,4084085.07246,521328.79013,50.45959,
2018-5-20 12:55:30.00000,4084085.06639,521328.78789,50.47683,
2018-5-20 12:55:31.00000,4084085.06946,521328.78914,50.46491,
2018-5-20 12:55:32.00000,4084085.06794,521328.78963,50.46211,
2018-5-20 12:55:33.00000,4084085.07371,521328.79156,50.45510,
2018-5-20 12:55:34.00000,4084085.07257,521328.79107,50.45960,
2018-5-20 12:55:35.00000,4084085.07028,521328.79064,50.45417,
2018-5-20 12:55:36.00000,4084085.06930,521328.78975,50.46179,
2018-5-20 12:55:37.00000,4084085.07164,521328.78879,50.46234,
2018-5-20 12:55:38.00000,4084085.06937,521328.78974,50.45871,
2018-5-20 12:55:39.00000,4084085.06976,521328.79017,50.45986,
2018-5-20 12:55:40.00000,4084085.07031,521328.79164,50.45529,
2018-5-20 12:55:41.00000,4084085.07093,521328.79001,50.45296,
2018-5-20 12:55:42.00000,4084085.06914,521328.78854,50.46000,
2018-5-20 12:55:43.00000,4084085.06896,521328.78993,50.45825,
